wyscout_name,clubelo_name
Barcelona,Barcelona
Atlético Madrid,Atletico
Nice,Nice
Chelsea,Chelsea
Napoli,Napoli
Liverpool,Liverpool
Arsenal,Arsenal
Tottenham Hotspur,Tottenham
Manchester City,Man City
Olympique Marseille,Marseille
Olympique Lyonnais,Lyon
Montpellier,Montpellier
Roma,Roma
Swansea City,Swansea
Villarreal,Villarreal
PSG,Paris SG
Caen,Caen
Sevilla,Sevilla
Metz,Metz
Rennes,Rennes
Real Sociedad,Sociedad
Monaco,Monaco
Watford,Watford
Everton,Everton
Real Madrid,Real Madrid
Atalanta,Atalanta
Athletic Club,Bilbao
Lazio,Lazio
Milan,Milan
West Ham United,West Ham
Internazionale,Inter
Leicester City,Leicester
Hellas Verona,Verona
West Bromwich Albion,West Brom
Guingamp,Guingamp
Crystal Palace,Crystal Palace
Huddersfield Town,Huddersfield
Manchester United,Man United
AFC Bournemouth,Bournemouth
SPAL,Spal
Juventus,Juventus
Amiens SC,Amiens
Werder Bremen,Werder
Burnley,Burnley
Newcastle United,Newcastle
Freiburg,Freiburg
Borussia M'gladbach,Gladbach
Celta de Vigo,Celta
Valencia,Valencia
Strasbourg,Strasbourg
Beijing Guoan,
Southampton,Southampton
Fiorentina,Fiorentina
Angers,Angers
Torino,Torino
Borussia Dortmund,Dortmund
Stoke City,Stoke
Cagliari,Cagliari
Leganés,Leganes
Schalke 04,Schalke
Bordeaux,Bordeaux
Troyes,Troyes
Genoa,Genoa
Nantes,Nantes
Levante,Levante
Wolfsburg,Wolfsburg
Deportivo Alavés,Alaves
Augsburg,Augsburg
Espanyol,Espanyol
Mainz 05,Mainz
Hertha BSC,Hertha
Brighton & Hove Albion,Brighton
Chievo,Chievo
Barcelona II,
Bayer Leverkusen,Leverkusen
Hannover 96,Hannover
Köln,Koeln
RB Leipzig,RB Leipzig
Udinese,Udinese
Lille,Lille
Saint-Étienne,Saint-Etienne
Getafe,Getafe
Las Palmas II,
Girona,Girona
Hoffenheim,Hoffenheim
Birmingham City,Birmingham
Eibar,Eibar
Sassuolo,Sassuolo
Real Betis,Betis
Las Palmas,Las Palmas
Bologna,Bologna
Málaga,Malaga
Benevento,Benevento
Toulouse,Toulouse
Deportivo La Coruña,Depor
Eintracht Frankfurt,Frankfurt
Bayern München,Bayern
Stuttgart,Stuttgart
Sampdoria,Sampdoria
Dijon,Dijon
Crotone,Crotone
Hamburger SV,Hamburg
Villarreal II,Villarreal II
Dinamo Moskva,Dynamo Moskva
Gençlerbirliği,Genclerbirligi
Arsenal U23,
Sheffield Wednesday,Sheffield Weds
Reading,Reading
Sporting CP,Sporting
Bristol City,Bristol City
Wolverhampton Wanderers,Wolves
Burton Albion,Burton
Norwich City,Norwich
Sheffield United,Sheffield United
Fulham,Fulham
Austria Wien,Austria Wien
Club Brugge,Brugge
Hull City,Hull
Cardiff City,Cardiff
Queens Park Rangers,QPR
Nottingham Forest,Forest
Brentford,Brentford
Sporting Braga,Braga
Porto,Porto
Vitória Guimarães,Guimaraes
Preston North End,Preston
Millwall,Millwall
Sunderland,Sunderland
Basel,Basel
Zulte-Waregem,Zulte Waregem
Young Boys,Young Boys
Salzburg,Salzburg
Kortrijk,Kortrijk
Numancia,Numancia
Anderlecht,Anderlecht
Cultural Leonesa,Leonesa
Benfica,Benfica
Konyaspor,Konyaspor
Beşiktaş,Besiktas
Mechelen,Mechelen
Alcorcón,Alcorcon
Barcelona II,Barcelona B
Lugano,Lugano
Ipswich Town,Ipswich
İstanbul Başakşehir,Byeyueksehir
